epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4763,0.67403,2.70159,1.19742,0.00333,1,0.64695,0.45503,0.3284,3.1211,1.10384,2e-05,2e-05,2e-05
2,27.096,0.52363,2.60307,1.10104,0.00333,1,0.78704,0.56488,0.29001,3.10122,1.04476,5.8812e-05,5.8812e-05,5.8812e-05
3,40.0731,0.48732,2.51364,1.09922,0.00333,1,0.85026,0.66421,0.31032,3.10253,1.02633,9.604e-05,9.604e-05,9.604e-05
4,54.2945,0.47575,2.48008,1.06807,0.00333,1,0.93803,0.73815,0.28713,3.10083,0.99529,0.000131684,0.000131684,0.000131684
5,67.958,0.42064,2.30714,0.99889,0.00333,1,0.96077,0.79845,0.28326,3.09458,0.99804,0.000165744,0.000165744,0.000165744
6,80.8813,0.48809,2.20269,1.04122,0.00333,1,0.98532,0.85256,0.28517,3.09412,1.01715,0.00019822,0.00019822,0.00019822
7,93.6039,0.47728,2.16704,1.04355,0.00333,1,0.995,0.88804,0.30874,3.09314,1.0227,0.000229112,0.000229112,0.000229112
8,106.893,0.50925,2.02571,1.04218,0.00333,1,0.995,0.88322,0.34888,3.10212,1.04672,0.00025842,0.00025842,0.00025842
9,119.73,0.4276,1.81354,0.98279,0.00333,1,0.995,0.8922,0.34675,3.0919,1.0639,0.000286144,0.000286144,0.000286144
10,132.614,0.41634,1.70607,0.9637,0.00333,1,0.995,0.88323,0.34434,3.09842,1.08228,0.000312284,0.000312284,0.000312284
11,145.055,0.47246,1.74267,1.04349,0.00333,1,0.995,0.85518,0.36052,3.11006,1.09385,0.00033684,0.00033684,0.00033684
12,157.548,0.44612,1.68247,1.04447,0.00333,1,0.99403,0.8957,0.33628,3.09167,1.05501,0.000359812,0.000359812,0.000359812
13,171.091,0.43886,1.50957,0.95269,0.00333,1,0.99125,0.92188,0.31287,3.07471,1.02403,0.0003812,0.0003812,0.0003812
